date,pref,solar_kw,wind_kw
2017-06-30,山梨県,513956.09999999986,0.0
2017-06-30,岐阜県,967579.9099999999,9203.0
2017-06-30,岡山県,1103189.7649999997,0.0
2017-06-30,岩手県,436071.8,67144.3
2017-06-30,島根県,273543.124,176106.7
2017-06-30,広島県,1035008.8150000002,0.0
2017-06-30,徳島県,508472.39800000016,19520.1
2017-06-30,愛媛県,641166.6540000002,96226.6
2017-06-30,愛知県,2046631.8999999985,66068.0
2017-06-30,新潟県,252301.79999999996,27688.4
2017-06-30,東京都,475591.9199999997,3650.0
2017-06-30,栃木県,1660751.5,0.0
2017-06-30,沖縄県,345637.0840000001,17635.8
2017-06-30,滋賀県,629890.9,1500.0
2017-06-30,熊本県,1113839.777,30210.4
2017-06-30,石川県,314429.908,124526.0
2017-06-30,神奈川県,643040.0999999999,4770.0
2017-06-30,福井県,170864.90599999993,28000.0
2017-06-30,福岡県,1822882.697,24870.7
2017-06-30,福島県,999979.4000000001,159843.8
2017-06-30,秋田県,173301.0,356877.4
2017-06-30,群馬県,1424721.2,343.0
2017-06-30,茨城県,2330575.7,104990.0
2017-06-30,長崎県,726644.2419999999,109546.7
2017-06-30,長野県,1060142.9,0.0
2017-06-30,青森県,503310.8,386551.9
2017-06-30,静岡県,1593044.4000000008,150917.9
2017-06-30,香川県,599779.0869999999,0.0
2017-06-30,高知県,345674.95200000005,35939.6
2017-06-30,鳥取県,216805.71000000005,59119.6
2017-06-30,鹿児島県,1430035.4679999999,260086.1
2017-09-30,三重県,1404730.0999999999,202019.8
2017-09-30,京都府,452527.60000000003,2252.5
2017-09-30,佐賀県,525615.938,42708.6
2017-09-30,兵庫県,1883911.766,55100.0
2017-09-30,北海道,1244231.906,354000.1
2017-09-30,千葉県,2033507.6,67031.0
2017-09-30,和歌山県,482750.19999999995,94660.0
2017-09-30,埼玉県,1301481.2,0.0
2017-09-30,大分県,900926.386,11739.6
2017-09-30,大阪府,834659.1,0.0
2017-09-30,奈良県,419061.60000000003,0.0
2017-09-30,宮城県,875931.2000000001,7551.4
2017-09-30,宮崎県,888706.491,16000.0
2017-09-30,富山県,246173.17700000003,3300.0
2017-09-30,山口県,762822.8840000001,113450.0
2017-09-30,山形県,198398.1,61186.1
2017-09-30,山梨県,524108.80000000005,0.0
2017-09-30,岐阜県,987250.81,9203.0
2017-09-30,岡山県,1125025.558,0.0
2017-09-30,岩手県,520900.60000000003,67144.3
2017-09-30,島根県,282172.95499999996,176706.7
2017-09-30,広島県,1055351.9239999999,0.0
2017-09-30,徳島県,519675.30999999994,19520.1
2017-09-30,愛媛県,661519.466,96226.6
2017-09-30,愛知県,2079872.6,66068.0
2017-09-30,新潟県,260813.99999999997,27688.4
2017-09-30,東京都,481320.02,3650.0
2017-09-30,栃木県,1698187.2000000002,0.0
2017-09-30,沖縄県,354615.461,17656.0
2017-09-30,滋賀県,647231.8,1500.0
2017-09-30,熊本県,1128000.7270000002,30210.4
2017-09-30,石川県,323280.975,124526.0
2017-09-30,神奈川県,651580.4,6270.0
2017-09-30,福井県,174491.33200000002,28000.0
2017-09-30,福岡県,1847420.394,24870.7
2017-09-30,福島県,1158549.7000000002,159862.8
2017-09-30,秋田県,195004.1,353320.8
2017-09-30,群馬県,1441820.9000000001,343.0
2017-09-30,茨城県,2416607.71,104990.0
2017-09-30,長崎県,733347.962,109719.8
2017-09-30,長野県,1091206.7,0.0
2017-09-30,青森県,601669.0,387206.2
