date,solar_kw,wind_kw,area
2025-10-31,9730782.738043481,2908022.779347826,tohoku
2025-11-30,9740389.161956524,2930094.920652174,tohoku
2025-12-31,9750315.800000004,2952902.8,tohoku
2014-06-30,3262987.067,425217.7,kyushu
2014-07-31,3411404.1560108694,425050.90652173915,kyushu
2014-08-31,3559821.245021739,424884.1130434783,kyushu
2014-09-30,3703450.6859999998,424722.7,kyushu
2014-10-31,3864696.431217391,436718.5206521739,kyushu
2014-11-30,4020740.7007826082,448327.3793478261,kyushu
2014-12-31,4181986.4459999995,460323.2,kyushu
2015-01-31,4381756.678377777,461704.56,kyushu
2015-02-28,4562194.307622222,462952.24,kyushu
2015-03-31,4761964.54,464333.6,kyushu
2015-04-30,4931951.582747253,464336.73186813184,kyushu
2015-05-31,5107604.860252747,464339.9681318681,kyushu
2015-06-30,5277591.903,464343.1,kyushu
2015-07-31,5393360.008336957,467175.6913043478,kyushu
2015-08-31,5509128.113673913,470008.2826086956,kyushu
2015-09-30,5621161.764,472749.5,kyushu
2015-10-31,5723114.530304348,472749.5,kyushu
2015-11-30,5821778.497695653,472749.5,kyushu
2015-12-31,5923731.264,472749.5,kyushu
2016-01-31,6006758.033252748,472752.73626373627,kyushu
2016-02-29,6084428.236747253,472755.76373626373,kyushu
2016-03-31,6167455.006,472759.0,kyushu
2016-04-30,6260159.752263736,473415.04395604396,kyushu
2016-05-31,6355954.656736264,474092.95604395604,kyushu
2016-06-30,6448659.403,474749.0,kyushu
2016-07-31,6517967.72763587,477473.2260869565,kyushu
2016-08-31,6587276.052271739,480197.452173913,kyushu
2016-09-30,6654348.6245,482833.8,kyushu
2016-10-31,6723656.94913587,485558.0260869565,kyushu
2016-11-30,6790729.52136413,488194.37391304347,kyushu
2016-12-31,6860037.846,490918.6,kyushu
2017-01-31,6931713.979333334,492246.7088888889,kyushu
2017-02-28,6996453.712666667,493446.2911111111,kyushu
2017-03-31,7068129.846000001,494774.4,kyushu
2017-04-30,7170900.247648352,494075.1692307693,kyushu
2017-05-31,7277096.329351648,493352.6307692308,kyushu
2017-06-30,7379866.730999999,492653.4,kyushu
2017-07-31,7428491.286684782,493569.9891304348,kyushu
2017-08-31,7477115.842369565,494486.57826086954,kyushu
2017-09-30,7524171.864,495373.6,kyushu
2017-10-31,7570516.887586957,495377.9130434783,kyushu
2017-11-30,7615366.910413044,495382.0869565217,kyushu
2017-12-31,7661711.934,495386.4,kyushu
2018-01-31,7729379.192111111,499136.8144444445,kyushu
2018-02-28,7790498.005888888,502524.28555555554,kyushu
2018-03-31,7858165.263999999,506274.7,kyushu
2018-04-30,7912056.984109889,506339.08461538464,kyushu
2018-05-31,7967745.094890109,506405.6153846154,kyushu
2018-06-30,8021636.8149999995,506470.0,kyushu
2018-07-31,8064326.764380435,506527.8891304348,kyushu
2018-08-31,8107016.713760871,506585.77826086956,kyushu
2018-09-30,8148329.568000003,506641.8,kyushu
2018-10-31,8208728.824032611,508261.085,kyushu
2018-11-30,8267179.716967395,509828.135,kyushu
2018-12-31,8327578.973000003,511447.42000000004,kyushu
