file,category,area,duration,month,coef_pct
2024_chouseikeisu,純揚水・蓄電池,東北,11h,4月,91.4
2024_chouseikeisu,純揚水・蓄電池,東北,11h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,11h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,11h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,11h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,11h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,11h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,11h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,11h,12月,98.7
2024_chouseikeisu,純揚水・蓄電池,東北,11h,1月,98.6
2024_chouseikeisu,純揚水・蓄電池,東北,11h,2月,96.9
2024_chouseikeisu,純揚水・蓄電池,東北,11h,3月,93.6
2024_chouseikeisu,純揚水・蓄電池,東北,10h,4月,90.5
2024_chouseikeisu,純揚水・蓄電池,東北,10h,5月,90.0
2024_chouseikeisu,純揚水・蓄電池,東北,10h,6月,98.9
2024_chouseikeisu,純揚水・蓄電池,東北,10h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,10h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,10h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,10h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,10h,11月,96.3
2024_chouseikeisu,純揚水・蓄電池,東北,10h,12月,97.9
2024_chouseikeisu,純揚水・蓄電池,東北,10h,1月,97.4
2024_chouseikeisu,純揚水・蓄電池,東北,10h,2月,95.3
2024_chouseikeisu,純揚水・蓄電池,東北,10h,3月,93.0
2024_chouseikeisu,純揚水・蓄電池,東北,9h,4月,89.4
2024_chouseikeisu,純揚水・蓄電池,東北,9h,5月,89.4
2024_chouseikeisu,純揚水・蓄電池,東北,9h,6月,97.9
2024_chouseikeisu,純揚水・蓄電池,東北,9h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,9h,8月,100.0
